cp	minsplit	minbucket	maxdepth	ganancia_promedio
-1	40	80	5	55958000
-1	40	100	5	56256000
-1	40	120	5	56100000
-1	20	20	5	54526000
-1	20	40	5	54238000
-1	20	60	5	55598000
-1	20	80	5	55958000
-1	20	100	5	56256000
-1	20	120	5	56100000
-1	600	20	6	55462000
-1	600	40	6	56318000
-1	600	60	6	55796000
-1	600	80	6	56186000
-1	600	100	6	55900000
-1	600	120	6	55828000
-1	400	20	6	54872000
-1	400	40	6	55680000
-1	400	60	6	55098000
-1	400	80	6	55330000
-1	400	100	6	55776000
-1	400	120	6	55664000
-1	200	20	6	54638000
-1	200	40	6	55440000
-1	200	60	6	54926000
-1	200	80	6	55340000
-1	200	100	6	55946000
-1	200	120	6	55858000
-1	100	20	6	54476000
-1	100	40	6	55030000
-1	100	60	6	54970000
-1	100	80	6	55340000
-1	100	100	6	55946000
-1	100	120	6	55858000
-1	80	20	6	54212000
-1	80	40	6	54622000
-1	80	60	6	54970000
-1	80	80	6	55340000
-1	80	100	6	55946000
-1	80	120	6	55858000
-1	60	20	6	53986000
-1	60	40	6	54622000
-1	60	60	6	54970000
-1	60	80	6	55340000
-1	60	100	6	55946000
-1	60	120	6	55858000
-1	40	20	6	54042000
-1	40	40	6	54622000
-1	40	60	6	54970000
-1	40	80	6	55340000
-1	40	100	6	55946000
-1	40	120	6	55858000
-1	20	20	6	54042000
-1	20	40	6	54622000
-1	20	60	6	54970000
-1	20	80	6	55340000
-1	20	100	6	55946000
-1	20	120	6	55858000
-1	600	20	7	56104000
-1	600	40	7	56542000
-1	600	60	7	57098000
-1	600	80	7	57272000
-1	600	100	7	55666000
-1	600	120	7	54876000
-1	400	20	7	55672000
-1	400	40	7	55966000
-1	400	60	7	56346000
-1	400	80	7	56596000
-1	400	100	7	55788000
-1	400	120	7	55042000
-1	200	20	7	55604000
-1	200	40	7	55752000
-1	200	60	7	56046000
-1	200	80	7	56408000
-1	200	100	7	55034000
-1	200	120	7	54736000
-1	100	20	7	55412000
-1	100	40	7	55016000
-1	100	60	7	55782000
-1	100	80	7	56046000
-1	100	100	7	55034000
-1	100	120	7	54736000
-1	80	20	7	55188000
-1	80	40	7	54738000
-1	80	60	7	55782000
-1	80	80	7	56046000
-1	80	100	7	55034000
-1	80	120	7	54736000
-1	60	20	7	54758000
-1	60	40	7	54738000
-1	60	60	7	55782000
-1	60	80	7	56046000
-1	60	100	7	55034000
-1	60	120	7	54736000
-1	40	20	7	54190000
-1	40	40	7	54738000
-1	40	60	7	55782000
-1	40	80	7	56046000
-1	40	100	7	55034000
-1	40	120	7	54736000
-1	20	20	7	54190000
-1	20	40	7	54738000
-1	20	60	7	55782000
-1	20	80	7	56046000
-1	20	100	7	55034000
-1	20	120	7	54736000
-1	600	20	8	56392000
-1	600	40	8	57026000
-1	600	60	8	55312000
-1	600	80	8	54636000
-1	600	100	8	52538000
-1	600	120	8	52734000
-1	400	20	8	55868000
-1	400	40	8	56174000
-1	400	60	8	54264000
-1	400	80	8	53304000
-1	400	100	8	51996000
-1	400	120	8	52074000
-1	200	20	8	55412000
-1	200	40	8	55906000
-1	200	60	8	53262000
-1	200	80	8	52936000
-1	200	100	8	51628000
-1	200	120	8	51638000
-1	100	20	8	54470000
-1	100	40	8	54522000
-1	100	60	8	52474000
-1	100	80	8	52214000
-1	100	100	8	51628000
-1	100	120	8	51638000
-1	80	20	8	54168000
-1	80	40	8	54292000
-1	80	60	8	52474000
-1	80	80	8	52214000
-1	80	100	8	51628000
-1	80	120	8	51638000
-1	60	20	8	53284000
-1	60	40	8	54292000
-1	60	60	8	52474000
-1	60	80	8	52214000
-1	60	100	8	51628000
-1	60	120	8	51638000
-1	40	20	8	52704000
-1	40	40	8	54292000
-1	40	60	8	52474000
-1	40	80	8	52214000
-1	40	100	8	51628000
-1	40	120	8	51638000
-1	20	20	8	52704000
-1	20	40	8	54292000
-1	20	60	8	52474000
-1	20	80	8	52214000
-1	20	100	8	51628000
-1	20	120	8	51638000
-1	600	20	9	54568000
-1	600	40	9	55794000
-1	600	60	9	54990000
-1	600	80	9	53838000
-1	600	100	9	52998000
-1	600	120	9	53672000
-1	400	20	9	53846000
-1	400	40	9	53398000
-1	400	60	9	53542000
-1	400	80	9	51904000
-1	400	100	9	51672000
-1	400	120	9	52474000
-1	200	20	9	53178000
-1	200	40	9	52998000
-1	200	60	9	53598000
-1	200	80	9	52306000
-1	200	100	9	51662000
-1	200	120	9	52568000
-1	100	20	9	52312000
-1	100	40	9	50542000
-1	100	60	9	53076000
-1	100	80	9	51542000
-1	100	100	9	51662000
-1	100	120	9	52568000
-1	80	20	9	52040000
-1	80	40	9	50198000
-1	80	60	9	53076000
-1	80	80	9	51542000
-1	80	100	9	51662000
-1	80	120	9	52568000
-1	60	20	9	50654000
-1	60	40	9	50198000
-1	60	60	9	53076000
-1	60	80	9	51542000
-1	60	100	9	51662000
-1	60	120	9	52568000
-1	40	20	9	50254000
-1	40	40	9	50198000
-1	40	60	9	53076000
-1	40	80	9	51542000
-1	40	100	9	51662000
-1	40	120	9	52568000
-1	20	20	9	50254000
-1	20	40	9	50198000
-1	20	60	9	53076000
-1	20	80	9	51542000
-1	20	100	9	51662000
-1	20	120	9	52568000
-1	600	20	10	53876000
-1	600	40	10	54740000
-1	600	60	10	5.4e+07
-1	600	80	10	53104000
-1	600	100	10	50914000
-1	600	120	10	52038000
-1	400	20	10	52906000
-1	400	40	10	52340000
-1	400	60	10	52184000
-1	400	80	10	50962000
-1	400	100	10	49456000
-1	400	120	10	50432000
-1	200	20	10	52646000
-1	200	40	10	52478000
-1	200	60	10	51790000
-1	200	80	10	50962000
-1	200	100	10	49454000
-1	200	120	10	50060000
-1	100	20	10	51600000
-1	100	40	10	49112000
-1	100	60	10	50006000
-1	100	80	10	50346000
-1	100	100	10	49454000
-1	100	120	10	50060000
-1	80	20	10	51420000
-1	80	40	10	48700000
-1	80	60	10	50006000
-1	80	80	10	50346000
-1	80	100	10	49454000
-1	80	120	10	50060000
-1	60	20	10	49204000
-1	60	40	10	48700000
-1	60	60	10	50006000
-1	60	80	10	50346000
-1	60	100	10	49454000
-1	60	120	10	50060000
-1	40	20	10	48516000
-1	40	40	10	48700000
-1	40	60	10	50006000
-1	40	80	10	50346000
-1	40	100	10	49454000
-1	40	120	10	50060000
-1	20	20	10	48516000
-1	20	40	10	48700000
-1	20	60	10	50006000
-1	20	80	10	50346000
-1	20	100	10	49454000
-1	20	120	10	50060000
